fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Kaila Berry,Fordham,1917722,71,14.69,29,83.8,90.61,1.3,0.31,0.99,-2.0,-2.55,0.54,31,5,1.07,0.17,A10
Shantavia Dawkins,Dayton,1917709,67,9.23,26,94.52,68.22,-0.08,-0.37,0.29,-0.92,-1.56,0.64,4,1,0.15,0.04,A10
Anaelle Dutat,Rhode Island,1922941,72,32.51,33,84.22,97.53,3.89,1.44,2.46,1.99,0.86,1.13,55,18,1.67,0.55,A10
Ines Debroise,Rhode Island,1922943,69,21.46,30,89.52,104.11,2.84,1.73,1.11,-0.75,0.76,-1.51,28,0,0.93,0.0,A10
Andjela Matic,Duquesne,1925105,68,19.26,33,93.25,98.61,1.81,0.97,0.85,4.58,3.22,1.36,19,5,0.58,0.15,A10
Jada Brown,George Mason,1925043,66,13.49,26,91.52,78.36,0.4,-0.13,0.53,4.62,3.05,1.57,11,1,0.42,0.04,A10
Nekhu Mitchell,George Mason,1925127,72,17.52,31,85.12,119.08,2.74,1.54,1.19,0.35,2.37,-2.02,37,4,1.19,0.13,A10
Nalani Kaysia,George Mason,1925131,74,26.81,31,79.43,95.47,3.44,1.11,2.33,3.2,0.19,3.02,25,35,0.81,1.13,A10
Zahirah Walton,George Mason,1925128,71,30.67,32,83.42,113.41,6.4,4.07,2.33,4.46,3.24,1.21,54,32,1.69,1.0,A10
Cia Eklöf,Rhode Island,1925241,70,6.53,15,96.78,69.5,-0.03,-0.13,0.09,-1.03,-0.5,-0.53,1,0,0.07,0.0,A10
Rachel Ullstrom,Richmond,1938322,73,30.61,35,87.68,124.76,6.89,4.82,2.06,7.92,6.2,1.72,50,12,1.43,0.34,A10
Alisa Blalock,La Salle,1936818,66,7.14,19,100.9,72.03,-0.12,-0.19,0.07,-2.9,-1.16,-1.73,5,0,0.26,0.0,A10
Maggie Doogan,Richmond,1938323,74,29.52,35,80.86,118.67,8.35,5.61,2.74,6.85,5.71,1.14,41,40,1.17,1.14,A10
Natalia Sierra-Vargas,George Washington,1941103,68,13.72,19,94.22,63.99,-0.04,-0.36,0.32,-2.54,-0.98,-1.56,9,1,0.47,0.05,A10
Timaya Lewis-Eutsey,VCU,1942126,68,28.63,8,88.47,92.52,0.84,0.42,0.42,2.31,0.22,2.09,11,3,1.38,0.38,A10
Mary-Anna Asare,VCU,1942130,67,32.99,30,86.87,101.89,4.77,2.78,1.99,4.21,1.24,2.97,52,7,1.73,0.23,A10
Jerni Kiaku,Duquesne,1941801,67,27.2,32,93.43,99.93,3.12,1.98,1.14,0.13,2.66,-2.53,34,4,1.06,0.12,A10
Deniz Torgut,VCU,1942131,70,8.97,24,91.36,70.13,0.04,-0.29,0.33,-1.14,-2.02,0.88,3,0,0.12,0.0,A10
Emma Theodorsson,Loyola Chicago,1946712,73,24.28,29,96.1,93.39,1.64,0.92,0.72,1.1,1.31,-0.22,18,9,0.62,0.31,A10
Rosalie Mercille,Loyola Chicago,2098033,69,15.88,19,98.41,91.2,0.5,0.27,0.24,0.52,-0.3,0.82,11,1,0.58,0.05,A10
Tamar voor de Poort,St. Bonaventure,2095889,72,6.69,23,111.04,,,,-0.08,-1.0,0.36,-1.35,0,1,0.0,0.04,A10
Amiyah Ferguson,Fordham,2096912,68,11.96,26,96.18,64.37,-0.3,-0.61,0.32,-4.08,-1.77,-2.31,5,1,0.19,0.04,A10
Jasmine Timmerson,Davidson,2106174,67,10.0,24,90.98,57.9,-0.02,-0.39,0.38,-1.05,-0.07,-0.98,9,0,0.38,0.0,A10
Louis Volker,George Mason,2103559,73,16.71,32,86.97,108.13,2.35,1.28,1.07,5.24,3.34,1.9,11,18,0.34,0.56,A10
Ta'Viyanna Habib,George Mason,2110958,71,23.66,32,87.44,111.71,3.07,1.59,1.48,4.71,3.58,1.14,35,10,1.09,0.31,A10
Raymi Coueta,Duquesne,2112617,68,11.57,32,96.04,87.8,0.52,0.14,0.38,2.78,1.26,1.51,11,5,0.34,0.16,A10
Audrey Deptula,Loyola Chicago,2107327,72,10.22,24,100.64,90.08,0.36,0.22,0.13,0.15,1.25,-1.1,6,3,0.25,0.12,A10
Kennedy Harris,George Mason,2110948,66,28.77,26,88.34,116.42,4.49,3.1,1.39,5.01,3.55,1.46,40,2,1.54,0.08,A10
Trinity Massenberg,George Mason,2110953,72,4.95,30,88.14,93.73,0.47,0.19,0.28,-0.75,-0.6,-0.15,4,4,0.13,0.13,A10
Faith Okorie,George Mason,2110956,72,3.29,17,86.55,91.07,0.15,0.04,0.11,-1.22,-0.06,-1.16,2,1,0.12,0.06,A10
Katie Donovan,Davidson,2114065,71,30.98,32,90.7,101.04,3.51,1.92,1.59,4.46,2.33,2.12,26,13,0.81,0.41,A10
Eliza Buerk,Davidson,2114075,75,6.0,12,86.67,79.54,0.13,-0.01,0.15,1.86,0.46,1.4,3,1,0.25,0.08,A10
Chinenye Odenigbo,Massachusetts,2116998,77,19.51,31,81.73,92.7,2.1,0.55,1.55,2.79,0.46,2.34,31,24,1.0,0.77,A10
Aleah Snead,Saint Joseph's,2117854,71,20.77,33,88.13,117.43,3.24,1.95,1.28,0.51,0.31,0.2,24,9,0.73,0.27,A10
Dallas Pierce,Massachusetts,2116999,69,3.99,17,94.62,92.95,0.14,0.06,0.08,-2.77,-0.88,-1.89,1,1,0.06,0.06,A10
Gabby Casey,Saint Joseph's,2117856,69,28.26,33,87.64,102.32,3.43,1.64,1.79,6.04,4.71,1.32,34,13,1.03,0.39,A10
Ajok Madol,Dayton,2118000,74,11.82,22,82.43,69.74,0.21,-0.44,0.64,-0.57,-1.01,0.44,15,9,0.68,0.41,A10
Ally Sweeney,Richmond,2118669,66,26.48,35,93.31,113.48,3.93,2.7,1.23,5.58,4.76,0.82,22,5,0.63,0.14,A10
Jayda Johnson,Dayton,2118537,72,9.34,27,95.14,81.39,0.27,-0.02,0.29,0.45,-0.3,0.75,2,4,0.07,0.15,A10
Eve Fiala,Dayton,2119678,76,5.82,20,84.15,47.17,-0.24,-0.51,0.27,-1.58,-1.55,-0.03,2,7,0.1,0.35,A10
Courtney Swider,Richmond,2118670,76,2.97,11,90.73,,,,0.05,,,,0,0,0.0,0.0,A10
Denika Lightbourne,Dayton,2119671,69,4.93,15,89.25,62.52,-0.03,-0.16,0.13,-1.41,-1.38,-0.03,2,1,0.13,0.07,A10
Sara Lewis,George Washington,2124506,73,26.74,29,90.34,83.42,1.36,0.08,1.28,-0.01,-0.92,0.91,18,18,0.62,0.62,A10
Kamari Sims,George Washington,2124507,73,21.51,24,93.56,86.08,0.86,0.19,0.67,-0.53,-0.94,0.42,12,21,0.5,0.88,A10
Katie Ledden,Rhode Island,2137361,72,5.38,21,87.9,,,,0.21,0.22,0.09,0.12,4,1,0.19,0.05,A10
Sophia Vital,Rhode Island,2137362,65,24.64,33,84.72,94.52,2.93,1.11,1.82,2.94,0.84,2.09,53,6,1.61,0.18,A10
Tierra Simon,Saint Louis,2144248,73,29.46,32,95.13,99.86,2.54,1.48,1.07,0.19,-0.63,0.81,37,32,1.16,1.0,A10
Marcavia Shavers,Saint Louis,2144250,74,11.81,33,97.86,87.3,0.53,0.2,0.33,-4.19,-2.89,-1.3,10,3,0.3,0.09,A10
Miya Giles-Jones,Fordham,2146597,72,5.23,18,90.41,64.91,0.02,-0.13,0.15,-1.62,-0.83,-0.79,5,1,0.28,0.06,A10
Brooklyn Gray,Saint Louis,2144273,71,27.1,34,99.73,96.14,2.27,1.68,0.6,5.3,3.24,2.06,48,4,1.41,0.12,A10
Taya Davis,Fordham,2146604,67,29.29,28,89.88,77.36,0.9,-0.48,1.38,2.39,0.88,1.5,44,4,1.57,0.14,A10
Aryss Macktoon,La Salle,2146761,70,29.02,21,88.4,71.95,0.22,-0.9,1.12,-3.31,-2.93,-0.38,68,4,3.24,0.19,A10
Zoli Khalil,VCU,2149794,72,25.6,31,92.11,92.54,2.07,0.92,1.15,-1.0,0.13,-1.13,19,9,0.61,0.29,A10
Valentina Ojeda,VCU,2149793,72,21.43,31,92.56,104.08,2.46,1.53,0.93,2.37,1.46,0.91,16,10,0.52,0.32,A10
Natalia Tondi,VCU,2149795,70,5.53,25,90.69,,,,0.22,-0.15,0.14,-0.3,4,1,0.16,0.04,A10
Lucia Sotelo Miguez,VCU,2149798,73,13.86,31,89.64,74.69,0.52,-0.22,0.74,-1.67,-1.03,-0.64,16,4,0.52,0.13,A10
Gabby Reynolds,George Washington,2281175,69,29.59,29,93.8,84.15,1.3,0.2,1.1,1.38,-0.04,1.42,36,11,1.24,0.38,A10
Kyraha Parnell,George Washington,2281178,75,8.82,8,95.86,60.51,-0.08,-0.15,0.07,-1.25,-0.16,-1.1,2,0,0.25,0.0,A10
Miriam Diala,George Washington,2281176,73,12.04,23,90.75,92.83,0.65,0.21,0.44,-4.33,-1.72,-2.61,12,4,0.52,0.17,A10
Filipa Calisto,George Washington,2281177,72,17.85,26,93.82,80.39,0.5,-0.09,0.59,-2.56,-3.18,0.63,10,6,0.38,0.23,A10
Morgan Matthews,George Washington,2281179,72,15.61,16,94.64,70.35,0.01,-0.29,0.3,-3.3,-1.02,-2.28,6,9,0.38,0.56,A10
Aurore Eyango,St. Bonaventure,2288964,69,5.74,17,98.85,68.6,-0.05,-0.13,0.07,-0.33,0.62,-0.95,4,0,0.24,0.0,A10
Mackenzie Pettinelli,St. Bonaventure,2288962,70,28.03,30,101.56,88.11,0.68,0.3,0.38,-3.01,-1.1,-1.92,37,3,1.23,0.1,A10
Macy Smith,St. Bonaventure,2288963,66,12.91,27,107.84,59.88,-0.88,-0.81,-0.07,-5.3,-3.54,-1.76,8,0,0.3,0.0,A10
Lena Walz,St. Bonaventure,2288961,70,15.54,15,107.5,58.29,-0.61,-0.57,-0.04,-3.36,-2.73,-0.64,2,0,0.13,0.0,A10
Gabby Robinson Forde,St. Bonaventure,2288965,74,20.07,29,103.99,65.53,-0.47,-0.59,0.11,-3.2,-1.52,-1.68,14,13,0.48,0.45,A10
Hannah Richardson,St. Bonaventure,2288968,73,20.21,26,106.82,64.39,-1.13,-1.07,-0.05,-4.82,-3.72,-1.1,6,12,0.23,0.46,A10
Caitlin Frost,St. Bonaventure,2288966,73,27.54,24,99.01,78.59,0.17,-0.31,0.48,-4.63,-3.62,-1.01,26,11,1.08,0.46,A10
Zoe Shaw,St. Bonaventure,2288967,67,33.71,30,106.29,88.34,0.65,0.7,-0.05,-4.38,-1.65,-2.74,19,6,0.63,0.2,A10
Rhian Stokes,Saint Joseph's,2303286,67,17.26,33,87.59,96.24,1.97,0.87,1.1,3.08,0.76,2.32,26,6,0.79,0.18,A10
Meja Jägerskog,Saint Joseph's,2303288,74,3.46,15,88.92,81.03,0.09,-0.01,0.09,-0.23,-0.55,0.32,1,0,0.07,0.0,A10
Olivia Leung,Dayton,2305394,70,13.71,28,94.09,91.01,0.84,0.36,0.48,2.15,0.42,1.73,11,1,0.39,0.04,A10
Kamryn Grant,Dayton,2305400,72,3.1,10,86.05,71.07,0.01,-0.05,0.06,,,,2,0,0.2,0.0,A10
Molly O'Riordan,Dayton,2305401,74,10.28,28,88.45,81.28,0.5,-0.03,0.53,-3.09,-2.91,-0.18,4,10,0.14,0.36,A10
Ivy Fox,La Salle,2314210,72,10.27,22,102.94,82.67,0.08,0.01,0.07,-2.89,-1.13,-1.76,3,1,0.14,0.05,A10
Payton Richard,Richmond,2313761,72,5.37,15,96.64,,,,0.08,-0.77,-0.33,-0.44,1,1,0.07,0.07,A10
Alicia Newell,Richmond,2313756,69,7.63,19,79.68,83.5,0.43,0.03,0.4,-0.73,-1.18,0.44,12,0,0.63,0.0,A10
Sania Jenkins,La Salle,2314222,71,7.05,23,103.71,75.98,-0.05,-0.09,0.04,-2.63,-1.42,-1.2,1,6,0.04,0.26,A10
Ayisse Magassa,La Salle,2314214,73,28.28,32,98.09,82.06,0.72,-0.02,0.74,-3.21,-1.72,-1.49,41,11,1.28,0.34,A10
Anna Przyszlak,La Salle,2314220,73,22.63,32,100.04,74.93,0.06,-0.38,0.44,-4.85,-5.5,0.64,20,10,0.62,0.31,A10
LeAire Nicks,George Mason,2305540,74,4.3,12,80.1,,,,0.14,-1.79,-0.61,-1.18,4,0,0.33,0.0,A10
Irene Garcia,La Salle,2314189,73,3.46,17,99.17,49.11,-0.1,-0.14,0.04,-1.27,-1.02,-0.25,2,0,0.12,0.0,A10
Faith Walker,Duquesne,2314261,73,16.29,31,93.45,84.91,0.74,0.08,0.66,2.18,0.15,2.03,16,8,0.52,0.26,A10
Diora Ressaissi,La Salle,2314188,72,4.52,21,102.3,81.71,0.03,-0.0,0.04,1.5,1.7,-0.2,1,2,0.05,0.1,A10
Ty'Renisha Bowers,La Salle,2314233,68,16.63,31,101.05,74.24,-0.08,-0.34,0.26,-2.95,-1.42,-1.54,19,3,0.61,0.1,A10
Joan Quinn,La Salle,2314217,69,29.21,32,98.67,85.64,1.05,0.34,0.71,-2.96,-1.92,-1.05,46,7,1.44,0.22,A10
Fatou Sane,Duquesne,2314264,72,5.64,25,86.41,58.97,-0.0,-0.29,0.29,0.73,0.73,-0.0,11,1,0.44,0.04,A10
Reina Green,Duquesne,2314266,68,13.7,30,89.95,73.99,0.41,-0.28,0.69,-0.4,-2.39,1.98,22,4,0.73,0.13,A10
Sienna Dauer,Davidson,2319461,71,10.9,31,91.68,69.67,0.08,-0.42,0.51,-1.58,-1.58,0.0,12,1,0.39,0.03,A10
Mackenzie Blackford,Duquesne,2314265,68,19.26,32,96.04,115.39,2.58,1.94,0.64,2.75,2.72,0.02,22,5,0.69,0.16,A10
Candice Lienafa,Davidson,2319467,71,17.21,31,87.57,112.42,2.81,1.78,1.03,1.86,1.82,0.03,13,17,0.42,0.55,A10
Kyra Bruyndoncx,Davidson,2319463,71,25.57,32,93.09,93.14,1.85,0.75,1.1,0.46,-0.74,1.19,20,8,0.62,0.25,A10
Kellie McConnell,Duquesne,2314267,63,3.36,22,90.38,48.03,-0.05,-0.17,0.12,-0.97,-1.77,0.81,4,0,0.18,0.0,A10
Nadia Moore,Duquesne,2314268,70,14.43,30,91.83,91.54,1.05,0.41,0.64,4.67,0.6,4.07,20,1,0.67,0.03,A10
Emilie Bessell,Davidson,2319473,69,6.88,20,90.78,86.85,0.31,0.09,0.22,1.27,0.06,1.22,4,0,0.2,0.0,A10
Shun'teria Anumele,Saint Louis,2325621,68,20.38,34,100.91,78.74,-0.02,-0.38,0.36,-1.52,1.1,-2.62,41,0,1.21,0.0,A10
Edina Strausz,Davidson,2319471,75,4.3,14,87.42,82.9,0.12,0.0,0.12,-2.09,-0.8,-1.29,0,4,0.0,0.29,A10
Hannah Wallace,Saint Louis,2325619,72,20.59,30,101.08,72.47,-0.07,-0.38,0.31,-2.82,-1.86,-0.96,28,14,0.93,0.47,A10
Mia Bergstrom,Saint Louis,2325638,70,12.6,33,106.26,95.53,0.51,0.52,-0.02,-3.97,-1.2,-2.77,8,4,0.24,0.12,A10
Rita Nazario,Saint Louis,2325639,65,2.78,5,111.37,36.49,-0.08,-0.07,-0.01,,,,0,0,0.0,0.0,A10
Roisin Grandberry,Loyola Chicago,2329008,75,6.03,12,92.61,,,,0.1,-3.22,-2.28,-0.94,1,5,0.08,0.42,A10
Yasmyn Palmer,Loyola Chicago,2329006,74,2.63,11,94.6,52.59,-0.06,-0.1,0.03,,,,1,2,0.09,0.18,A10
Alexa Kinas,Loyola Chicago,2329010,68,15.79,27,94.44,89.46,0.77,0.25,0.51,-4.97,-3.52,-1.45,28,2,1.04,0.07,A10
Kendall Hendrix,Loyola Chicago,2329013,70,7.53,25,91.28,78.27,0.21,-0.08,0.29,-1.16,-1.24,0.08,12,4,0.48,0.16,A10
Brooklyn Vaughn,Loyola Chicago,2329014,72,10.08,24,96.95,87.69,0.34,0.11,0.23,0.23,-0.69,0.92,10,0,0.42,0.0,A10
Yahmani McKayle,Massachusetts,2334119,66,30.78,32,87.06,92.56,3.41,1.45,1.96,3.36,1.25,2.11,58,6,1.81,0.19,A10
Kasey Bretones,Massachusetts,2334120,71,6.8,14,94.19,97.17,0.23,0.11,0.12,-1.15,0.15,-1.3,1,0,0.07,0.0,A10
Emma Wilson-Saltos,Fordham,2335676,71,12.31,28,85.74,94.65,1.14,0.41,0.73,0.31,-0.21,0.52,15,12,0.54,0.43,A10
Precious Omoshola,Fordham,2335678,74,6.24,22,85.84,75.19,0.19,-0.1,0.29,0.17,-0.55,0.71,6,6,0.27,0.27,A10
