Player,Poss,PPP,PPS,Team,conf
Mauriana Hashemian-Orr,2.9,0.671,0.72,Saint Mary's Gaels,WCC
Maggie Vick,5.7,0.671,0.71,Pepperdine Waves,WCC
Lorena Barbosa,2.7,0.667,0.7,San Francisco Dons,WCC
Kaya  Ingram,7.2,0.665,0.7,Santa Clara Broncos,WCC
Malia Tharpe,2.8,0.658,0.68,San Diego Toreros,WCC
Cami Fulcher,5.5,0.656,0.74,San Francisco Dons,WCC
Maisie Burnham,3.7,0.647,0.69,Portland Pilots,WCC
Daria Nestorov,3.3,0.642,0.74,Pacific Tigers,WCC
Luisa Anderegg,1.9,0.64,0.76,Pacific Tigers,WCC
Natalie Fraley,0.9,0.606,0.52,Portland Pilots,WCC
Debora Dos Santos,7.3,0.578,0.68,San Francisco Dons,WCC
Tyla Fautua,1.5,0.516,0.58,Pacific Tigers,WCC
Ella  Wedin,3.6,0.5,0.47,Saint Mary's Gaels,WCC
Vera  Gunaydin,1.4,0.5,0.45,Gonzaga Bulldogs,WCC
Gabby  Harris ,2.0,0.5,0.5,Santa Clara Broncos,WCC
Tiffany Barbosa,1.2,0.306,0.35,Portland Pilots,WCC
Lucia Navarro,1.6,1.308,1.23,Oregon State Beavers,WCC
Sela Heide,2.4,0.904,0.95,Oregon State Beavers,WCC
Kennedie Shuler,8.9,0.904,0.94,Oregon State Beavers,WCC
AJ Marotte,7.8,0.816,0.84,Oregon State Beavers,WCC
Catarina Ferreira,6.4,0.804,0.79,Oregon State Beavers,WCC
Kelsey Rees,6.7,0.797,0.83,Oregon State Beavers,WCC
Susana Yepes,1.5,0.73,0.8,Oregon State Beavers,WCC
Tiara Bolden,4.8,0.726,0.72,Oregon State Beavers,WCC
Cloe Vecina,1.9,0.721,0.69,Oregon State Beavers,WCC
Ally Schimel,4.6,0.719,0.75,Oregon State Beavers,WCC
Jean Chiu,1.7,0.956,0.98,Washington State Cougars,WCC
Alex Covill,4.8,0.923,0.98,Washington State Cougars,WCC
Charlotte Abraham,4.2,0.866,0.87,Washington State Cougars,WCC
Dayana Mendes,4.5,0.859,0.85,Washington State Cougars,WCC
Eleonora Villa,8.3,0.808,0.82,Washington State Cougars,WCC
Candace Kpetikou,2.4,0.808,0.87,Washington State Cougars,WCC
Marta Alsina,2.9,0.775,0.81,Washington State Cougars,WCC
Alice Dart,2.3,0.755,0.79,Washington State Cougars,WCC
Tara Wallack,8.9,0.74,0.8,Washington State Cougars,WCC
Jenna Villa,5.4,0.716,0.76,Washington State Cougars,WCC
Kyra Gardner,2.8,0.705,0.73,Washington State Cougars,WCC
Astera Tuhina,7.5,0.703,0.77,Washington State Cougars,WCC
Taija Sta. Maria,6.0,0.533,0.64,Fresno State Bulldogs,MWC
Macy Spencer,2.6,0.571,0.56,UNLV Rebels,MWC
Joseana Vaz,2.3,0.623,0.7,Colorado State Rams,MWC
Elodie Lalotte,2.6,0.628,0.65,Boise State Broncos,MWC
Danae Powell,5.3,0.631,0.69,Fresno State Bulldogs,MWC
Alexis Cortez,5.4,0.633,0.77,Air Force Falcons,MWC
Jazlen Green,3.7,0.636,0.61,San Diego State Aztecs,MWC
Sofia Kelemeni,4.7,0.662,0.59,San Jose State Spartans,MWC
Allyson Fertig,8.1,0.667,0.7,Wyoming Cowgirls,MWC
Hennie Van Schaik,4.5,0.67,0.69,San Jose State Spartans,MWC
Dani Bayes,5.1,0.675,0.66,Boise State Broncos,MWC
Sophie Sene,2.4,0.688,0.76,Utah State Aggies,MWC
Erin  Houpt,3.4,0.693,0.86,San Diego State Aztecs,MWC
Emily Mellema,8.7,0.693,0.76,Wyoming Cowgirls,MWC
Cali Clark,4.8,0.695,0.74,San Diego State Aztecs,MWC
Hannah Ronsiek,10.2,0.706,0.71,Colorado State Rams,MWC
Kaylee Headrick,2.1,0.709,0.76,Colorado State Rams,MWC
Jo Huntimer,6.9,0.715,0.78,Air Force Falcons,MWC
Jasmine Singleton,5.6,0.718,0.73,San Jose State Spartans,MWC
McKinley Dickerson,3.6,0.72,0.73,Wyoming Cowgirls,MWC
Libby Hutton,2.6,0.722,0.73,Boise State Broncos,MWC
Nayli Padilla,3.2,0.728,0.8,New Mexico Lobos,MWC
Meadow Roland,5.5,0.735,0.78,UNLV Rebels,MWC
Jadyn Fife,3.9,0.736,0.79,Colorado State Rams,MWC
Paris  Lauro,2.4,0.74,0.75,New Mexico Lobos,MWC
Kim Villalobos,5.9,0.752,0.86,San Diego State Aztecs,MWC
Rylei Waugh,7.7,0.755,0.8,San Jose State Spartans,MWC
Ola Ustowska,6.2,0.759,0.79,Wyoming Cowgirls,MWC
Imbie Jones,5.1,0.763,0.75,Nevada Wolf Pack,MWC
Aaliyah Alexander,6.0,0.765,0.85,UNLV Rebels,MWC
Mya Hansen,5.7,0.768,0.83,Boise State Broncos,MWC
Veronica Sheffey,7.8,0.768,0.78,San Diego State Aztecs,MWC
Milahnie Perry,6.8,0.772,0.88,Air Force Falcons,MWC
Adryana Quezada,5.3,0.773,0.83,San Diego State Aztecs,MWC
Natalia Martinez,5.7,0.774,0.81,San Diego State Aztecs,MWC
Amhyia Moreland,5.1,0.774,0.74,New Mexico Lobos,MWC
Malene Pedersen,5.5,0.777,0.82,Wyoming Cowgirls,MWC
Mary-Kay Naro,7.1,0.78,0.8,Boise State Broncos,MWC
Kaelyn Hamilton,4.1,0.78,0.84,San Diego State Aztecs,MWC
Dymonique Maxie,8.5,0.78,0.89,Nevada Wolf Pack,MWC
Lexie Givens,5.8,0.783,0.84,Nevada Wolf Pack,MWC
Marta Leimane,8.3,0.788,0.8,Colorado State Rams,MWC
Mariah Elohim,5.7,0.789,0.88,Fresno State Bulldogs,MWC
Hulda Joaquim,7.8,0.79,0.87,New Mexico Lobos,MWC
Elise Livingston,4.8,0.791,0.85,Utah State Aggies,MWC
Brooke Carlson,6.3,0.791,0.87,Colorado State Rams,MWC
Tatum Thompson,6.4,0.794,0.85,Boise State Broncos,MWC
Viane Cumber,7.0,0.795,0.83,New Mexico Lobos,MWC
Kylee Fox,7.1,0.797,0.79,Fresno State Bulldogs,MWC
Djessira Diawara,4.6,0.797,0.82,San Jose State Spartans,MWC
Marissa Hargrave,2.4,0.806,0.92,Air Force Falcons,MWC
Macie James,3.4,0.809,0.85,UNLV Rebels,MWC
Finau Tonga,3.1,0.81,0.85,San Jose State Spartans,MWC
McKinna  Brackens,6.8,0.81,0.91,UNLV Rebels,MWC
Abby Muse,4.5,0.811,0.8,Boise State Broncos,MWC
Sanna Strom,5.3,0.812,0.96,Colorado State Rams,MWC
Emma Ronsiek,8.3,0.812,0.92,Colorado State Rams,MWC
Reza Po,3.5,0.817,1.0,New Mexico Lobos,MWC
Madi Symons,2.3,0.818,0.81,Wyoming Cowgirls,MWC
Alyssa Hargrove,7.8,0.82,0.9,New Mexico Lobos,MWC
Alyssa Brown,7.4,0.822,0.91,UNLV Rebels,MWC
Tess Barnes,6.8,0.823,0.84,Wyoming Cowgirls,MWC
Izzy  Sullivan,6.2,0.827,0.88,Nevada Wolf Pack,MWC
Maria Konstantinidou,3.9,0.832,0.9,Fresno State Bulldogs,MWC
Charlotte Climenhage,2.5,0.833,0.89,Nevada Wolf Pack,MWC
Lara  Langermann,4.7,0.839,0.93,New Mexico Lobos,MWC
Naomi Panganiban,6.6,0.84,0.86,San Diego State Aztecs,MWC
Amarachi  Kimpson,8.1,0.843,0.86,UNLV Rebels,MWC
Hannah Simental,6.6,0.844,0.89,Colorado State Rams,MWC
Jordyn DeVaughn,3.5,0.845,0.92,Air Force Falcons,MWC
Kiara Jackson,9.3,0.845,0.9,UNLV Rebels,MWC
Kati Ollilainen,4.1,0.845,0.91,Wyoming Cowgirls,MWC
Teryn Gardner,3.7,0.847,0.98,Boise State Broncos,MWC
Natalie Pasco,7.2,0.849,0.86,Boise State Broncos,MWC
Kloe Froebe,5.4,0.855,0.88,Colorado State Rams,MWC
Rakiyah Jackson,3.0,0.859,0.83,Nevada Wolf Pack,MWC
Sydni Summers,5.9,0.862,0.91,San Jose State Spartans,MWC
Jayda McNabb,5.3,0.864,0.96,Air Force Falcons,MWC
Audrey Roden,6.5,0.876,0.85,Nevada Wolf Pack,MWC
Madison Smith,7.9,0.881,0.95,Air Force Falcons,MWC
Cheyenne Stubbs,5.8,0.882,0.93,Utah State Aggies,MWC
Jamisyn Heaton,4.6,0.883,0.89,Utah State Aggies,MWC
Mia Tarver,4.9,0.884,0.89,Utah State Aggies,MWC
Destinee Hooks,7.7,0.886,0.94,New Mexico Lobos,MWC
Mia Jacobs,7.4,0.896,1.05,Fresno State Bulldogs,MWC
Victoria Davis,5.4,0.897,0.92,Nevada Wolf Pack,MWC
Rayna Williams,2.6,0.899,0.88,Fresno State Bulldogs,MWC
Olivia Poulivaati,4.2,0.902,0.98,Nevada Wolf Pack,MWC
Saga Ukkonen,6.1,0.91,0.97,Fresno State Bulldogs,MWC
Khylee-Jade Pepe,4.0,0.917,1.25,San Diego State Aztecs,MWC
Taliyah Logwood,3.4,0.924,1.05,Utah State Aggies,MWC
Denae Skelton,3.1,0.926,0.97,Utah State Aggies,MWC
Meghan Fiso,4.1,0.927,0.95,San Diego State Aztecs,MWC
Milly Sharp,2.1,0.931,0.88,Boise State Broncos,MWC
Joana Magalhaes,7.7,0.939,0.99,New Mexico Lobos,MWC
Carlie Latta,4.5,0.943,1.02,Utah State Aggies,MWC
Amiah Simmons,7.5,0.95,0.95,San Jose State Spartans,MWC
Amira Brown,6.3,0.95,0.96,San Jose State Spartans,MWC
Kennedy Lee,4.6,0.951,1.0,Nevada Wolf Pack,MWC
Kenadee Winfrey,2.5,0.965,1.11,UNLV Rebels,MWC
Gracie  Johnson,2.2,0.982,0.98,Utah State Aggies,MWC
Keelie O'Hollaren,4.7,1.0,1.03,Air Force Falcons,MWC
Emily Adams,2.7,1.045,1.15,Air Force Falcons,MWC
Jayda Clark,2.0,1.064,1.02,Boise State Broncos,MWC
Avery Watkins,2.3,1.089,1.15,Fresno State Bulldogs,MWC
Sydney Mains,4.0,0.25,0.27,Florida Atlantic Owls,AAC
DeeDee Hagemann,6.0,0.536,0.57,Memphis Tigers,AAC
Synia Johnson,4.1,0.551,0.61,East Carolina Pirates,AAC
Jaelyn Talley,4.7,0.558,0.63,North Texas Mean Green,AAC
Janette Aarnio,3.4,0.571,0.59,South Florida Bulls,AAC
Jade Weathersby,6.7,0.579,0.61,UAB Blazers,AAC
Mya  Perry,6.8,0.599,0.68,Florida Atlantic Owls,AAC
Sherese Pittman,8.4,0.629,0.66,Tulane Green Wave,AAC
Damara Allen,4.0,0.63,0.67,Texas-(San Antonio) Roadrunners,AAC
Salese Blow,6.8,0.636,0.63,Wichita State Shockers,AAC
Ereauna Hardaway,7.2,0.637,0.75,North Texas Mean Green,AAC
Taliyah Wyche,3.1,0.642,0.67,East Carolina Pirates,AAC
Jayla Hearp,4.7,0.644,0.65,East Carolina Pirates,AAC
Kendall Sneed,7.9,0.648,0.7,Tulane Green Wave,AAC
Jordyn Jenkins,6.6,0.65,0.77,Texas-(San Antonio) Roadrunners,AAC
Maddie Walsh,9.3,0.653,0.66,UAB Blazers,AAC
Alexis Andrews,5.1,0.659,0.63,Charlotte 49ers,AAC
Kyla Deck,8.2,0.667,0.73,North Texas Mean Green,AAC
Madison Roshelle,3.7,0.676,0.68,Charlotte 49ers,AAC
Kierra Middleton,3.8,0.676,0.91,Tulane Green Wave,AAC
Amiya Joyner,5.1,0.679,0.73,East Carolina Pirates,AAC
Rayne Tucker,4.8,0.683,0.75,UAB Blazers,AAC
Amaya Oliver,5.1,0.683,0.77,Temple Owls,AAC
Tommisha Lampkin,5.6,0.683,0.75,North Texas Mean Green,AAC
Khia Miller,4.6,0.687,0.73,East Carolina Pirates,AAC
Jade Clack,3.9,0.692,0.67,Tulsa Golden Hurricane,AAC
Raven Sims,3.0,0.694,0.65,Memphis Tigers,AAC
Tristen Taylor,6.4,0.698,0.78,Temple Owls,AAC
Elise Hill,7.4,0.699,0.77,Tulsa Golden Hurricane,AAC
Aysia Proctor,3.4,0.701,0.73,Texas-(San Antonio) Roadrunners,AAC
Mama Dembele,8.6,0.704,0.81,South Florida Bulls,AAC
Maria Myklebust,3.1,0.705,0.78,Florida Atlantic Owls,AAC
Aniyah Johnson,6.2,0.709,0.76,North Texas Mean Green,AAC
Molly Moffitt,5.1,0.713,0.74,UAB Blazers,AAC
Devin Hagemann,4.7,0.718,0.82,East Carolina Pirates,AAC
Emily Klaczek,4.3,0.721,0.75,Rice Owls,AAC
Sadie Shores,6.7,0.721,0.75,Tulane Green Wave,AAC
Hayleigh Breland,5.2,0.723,0.74,Charlotte 49ers,AAC
Paige Bradley,4.4,0.724,0.71,Tulsa Golden Hurricane,AAC
Jayla Murray,4.8,0.732,0.78,Wichita State Shockers,AAC
Idara Udo,5.1,0.734,0.89,Texas-(San Antonio) Roadrunners,AAC
Bre'Yon White,5.1,0.735,0.73,Wichita State Shockers,AAC
Nina De Leon Negron,8.7,0.74,0.77,Texas-(San Antonio) Roadrunners,AAC
Vittoria Blasigh,6.1,0.742,0.85,South Florida Bulls,AAC
Dyllan Hanna,3.6,0.742,0.78,Tulane Green Wave,AAC
Anissa Rivera,5.8,0.743,0.83,Temple Owls,AAC
Alasia Smith,6.0,0.744,0.83,Memphis Tigers,AAC
Carla Brito,7.3,0.745,0.84,South Florida Bulls,AAC
Kay Kay Green,5.6,0.746,0.72,Charlotte 49ers,AAC
Victoria Keenan,7.7,0.746,0.84,Tulane Green Wave,AAC
Keanna Rembert,5.3,0.747,0.86,Charlotte 49ers,AAC
Sussy Ngulefac,4.8,0.748,0.8,Rice Owls,AAC
Malia Fisher,6.9,0.751,0.81,Rice Owls,AAC
Aniah Alexis,4.7,0.753,0.79,Rice Owls,AAC
Jordan Peete,4.6,0.754,0.83,Charlotte 49ers,AAC
Jazzy Owens-Barnett,5.4,0.754,0.89,Rice Owls,AAC
Victoria Flores,8.4,0.754,0.78,Rice Owls,AAC
Jaleesa Molina,5.0,0.756,0.8,Temple Owls,AAC
Mady Cartwright,4.8,0.758,0.78,Tulsa Golden Hurricane,AAC
Tatyana Wyche,3.3,0.761,0.86,East Carolina Pirates,AAC
KP Parr,5.3,0.765,0.84,Wichita State Shockers,AAC
Sidney Love,7.2,0.767,0.83,Texas-(San Antonio) Roadrunners,AAC
Kristol Ayson,6.8,0.769,0.84,Tulsa Golden Hurricane,AAC
Sammie Puisis,7.6,0.772,0.83,South Florida Bulls,AAC
Tiarra East,7.6,0.776,0.87,Temple Owls,AAC
Ines Piper,3.3,0.779,0.94,South Florida Bulls,AAC
Kaylah Turner,5.5,0.78,0.89,Temple Owls,AAC
Tarriyonna Gary,7.2,0.781,0.87,Temple Owls,AAC
Nyayongah Gony,3.1,0.784,0.96,Texas-(San Antonio) Roadrunners,AAC
Princess Anderson,3.5,0.789,0.87,Wichita State Shockers,AAC
Quinzia Fulmore,5.4,0.789,0.81,Memphis Tigers,AAC
Tilly Boler,7.8,0.795,0.82,Memphis Tigers,AAC
Kyren Whittington,4.8,0.8,0.86,Tulane Green Wave,AAC
Shelby Hayes,3.0,0.8,0.86,Rice Owls,AAC
Maya Linton,6.3,0.804,0.86,Texas-(San Antonio) Roadrunners,AAC
L'or Mputu,4.4,0.805,0.91,South Florida Bulls,AAC
Journey Armstead,7.3,0.807,0.89,UAB Blazers,AAC
Tanyuel Welch,8.5,0.812,0.88,Memphis Tigers,AAC
Romi Levy,5.5,0.813,0.83,South Florida Bulls,AAC
Delanie Crawford,6.9,0.82,0.97,Tulsa Golden Hurricane,AAC
Sara Bershers,8.6,0.822,0.86,UAB Blazers,AAC
Dominique Ennis,8.3,0.824,0.89,Rice Owls,AAC
Desiree Wooten,8.1,0.83,0.89,North Texas Mean Green,AAC
Hailey Adams,6.5,0.832,0.81,Rice Owls,AAC
Ta'Ziah Jenks,4.5,0.832,0.9,Florida Atlantic Owls,AAC
Stefanie Ingram,9.3,0.836,0.94,Florida Atlantic Owls,AAC
Jaaucklyn Moore,5.9,0.837,0.89,North Texas Mean Green,AAC
Ornella Niankan,5.2,0.84,0.86,Wichita State Shockers,AAC
Imani Smith,3.7,0.84,0.95,Charlotte 49ers,AAC
Jada Moore,6.8,0.889,0.92,Florida Atlantic Owls,AAC
Amira Mabry,4.9,0.912,0.99,Tulane Green Wave,AAC
Erin Rodgers,5.7,0.912,1.08,Florida Atlantic Owls,AAC
Anzhane Hutton,3.7,0.916,0.95,East Carolina Pirates,AAC
Hadley Periman,6.6,0.937,1.0,Tulsa Golden Hurricane,AAC
Eleecia Carter,5.5,0.949,0.96,UAB Blazers,AAC
Zahira Arizmendi,3.1,0.949,0.96,Florida Atlantic Owls,AAC
Tracey Bershers,3.2,0.97,1.06,UAB Blazers,AAC
Elauna Eaton,4.4,0.977,0.98,Memphis Tigers,AAC
Amy Thompson,3.3,1.0,1.2,South Florida Bulls,AAC
Taylor Jameson,5.2,1.007,1.04,Wichita State Shockers,AAC
Hannah Riddick,4.0,1.125,1.15,Memphis Tigers,AAC
Kyleigh Ortiz,3.0,1.333,2.0,Wichita State Shockers,AAC
Timaya Lewis-Eutsey,7.9,0.444,0.57,Virginia Commonwealth Rams,A10
Yahmani McKayle,6.8,0.502,0.56,Massachusetts Minutewomen,A10
Nayo Lear,4.7,0.56,0.56,Dayton Flyers,A10
Rose  Nelson,4.5,0.574,0.63,Fordham Rams,A10
Filipa Calisto,4.9,0.588,0.65,George Washington Revolutionaries,A10
Grace Hutson,6.9,0.604,0.65,Virginia Commonwealth Rams,A10
Kamari Sims,5.5,0.613,0.67,George Washington Revolutionaries,A10
Issy Morgan,5.8,0.628,0.67,Davidson Wildcats,A10
Millie Prior,5.7,0.631,0.63,Davidson Wildcats,A10
Maggie Doogan,7.7,0.634,0.69,Richmond Spiders,A10
Laura Ziegler,8.1,0.65,0.7,Saint Joseph's Hawks,A10
Paige Mott,5.5,0.651,0.73,George Washington Revolutionaries,A10
Kyra Bruydoncx,6.5,0.653,0.65,Davidson Wildcats,A10
Arianna Smith,5.0,0.662,0.75,Dayton Flyers,A10
Gabby Reynolds,7.8,0.662,0.71,George Washington Revolutionaries,A10
Mykel Parham,6.9,0.665,0.74,Virginia Commonwealth Rams,A10
Harsimran Kaur,5.6,0.668,0.7,Rhode Island Rams,A10
Sara Lewis,7.9,0.672,0.77,George Washington Revolutionaries,A10
Kika Hodge-Carr,5.3,0.673,0.75,Loyola (Chicago) Ramblers,A10
Taya Davis,7.3,0.682,0.76,Fordham Rams,A10
Kennedy Harris,6.7,0.691,0.78,George Mason Patriots,A10
Ivy Wolf,7.5,0.692,0.76,Dayton Flyers,A10
Mary-Anna Asare,9.2,0.695,0.74,Virginia Commonwealth Rams,A10
Allies Palmieri,6.5,0.696,0.78,Massachusetts Minutewomen,A10
Zoe Shaww,8.8,0.697,0.77,St. Bonaventure Bonnies,A10
Emma Boslet,6.7,0.699,0.7,Saint Joseph's Hawks,A10
Hawa Komara,5.8,0.702,0.75,Rhode Island Rams,A10
Mackenzie Blackford,4.5,0.703,0.75,Duquesne Dukes,A10
Ally Sweeney,6.5,0.707,0.77,Richmond Spiders,A10
Addie Budnik,6.1,0.712,0.82,Richmond Spiders,A10
Tierra Simon,7.4,0.712,0.78,Saint Louis Billikens,A10
Stefanie Kulesza,6.9,0.715,0.79,Massachusetts Minutewomen,A10
Hannah Wallace,5.7,0.719,0.7,Saint Louis Billikens,A10
Mallorie Haines,4.7,0.72,0.72,Davidson Wildcats,A10
Ashleigh Connor,6.9,0.72,0.84,La Salle Explorers,A10
Rachel Ullstrom,6.8,0.723,0.8,Richmond Spiders,A10
Anaelle Dutat,8.2,0.727,0.78,Rhode Island Rams,A10
Naelle Bernard,7.1,0.728,0.82,Loyola (Chicago) Ramblers,A10
Joan Quinn,8.7,0.729,0.75,La Salle Explorers,A10
Chae Harris,5.6,0.73,0.82,Fordham Rams,A10
Emma Theodorsson,4.8,0.731,0.82,Loyola (Chicago) Ramblers,A10
Valentina Ojeda,4.5,0.732,0.8,Virginia Commonwealth Rams,A10
Zahirah Walton,6.6,0.733,0.79,George Mason Patriots,A10
Rikki Harris,6.2,0.734,0.81,Dayton Flyers,A10
Olivia Leung,4.1,0.741,0.82,Dayton Flyers,A10
Charlise Dunn,7.5,0.743,0.82,Davidson Wildcats,A10
Mackenzie Smith,7.9,0.743,0.79,Saint Joseph's Hawks,A10
Jerni Kiaku,7.2,0.745,0.81,Duquesne Dukes,A10
Gabby Robinson,4.1,0.746,0.84,St. Bonaventure Bonnies,A10
Makayla Andrews,7.2,0.751,0.78,George Washington Revolutionaries,A10
Sophie Phillips,7.2,0.754,0.81,Rhode Island Rams,A10
Rhian Stokes,4.8,0.756,0.72,Saint Joseph's Hawks,A10
Talya Brugler,7.0,0.769,0.84,Saint Joseph's Hawks,A10
Palmire Mbu,4.2,0.769,0.82,Rhode Island Rams,A10
Katie Hill,7.9,0.77,0.83,Richmond Spiders,A10
Kennedy Calhoun,9.4,0.771,0.87,Saint Louis Billikens,A10
Taylor Donaldson,6.1,0.771,0.84,Fordham Rams,A10
Megan Olbrys,6.3,0.775,0.91,Massachusetts Minutewomen,A10
Aleah Snead,4.9,0.778,0.8,Saint Joseph's Hawks,A10
Zoli Khalil,6.1,0.779,0.78,Virginia Commonwealth Rams,A10
Faith Alston,4.7,0.78,0.95,Richmond Spiders,A10
Katie Donovan,6.3,0.789,0.8,Davidson Wildcats,A10
